* * * * 1B 1B 2B 3B 3B 3B 3B * * * * 
* * * * 4B 4B 4B ~ 5B 5B 5B * * * * 
* * * * 6B 6B 6B 7B 7B 8B 9B * * * * 
* * * # # # # # # # # # * * * 
1G 4G 6G # # # * * * # # # 1R 4R 6R 
1G 4G 6G # # # # # # # # # 1R 4R 6R 
2G 4G 6G # * # ^ ^ ^ # * # 2R 4R 6R 
3G ~ 7G # * # ^ @ ^ # * # 3R ~ 7R 
3G 5G 7G # * # ^ ^ ^ # * # 3R 5R 7R 
3G 5G 8G # # # # # # # # # 3R 5R 8R 
3G 5G 9G # # # * * * # # # 3R 5R 9R 
* * * # # # # # # # # # * * * 
* * * * 1Y 1Y 2Y 3Y 3Y 3Y 3Y * * * * 
* * * * 4Y 4Y 4Y ~ 5Y 5Y 5Y * * * * 
* * * * 6Y 6Y 6Y 7Y 7Y 8Y 9Y * * * * 
